"CountryCode" "ID" "CountryName" "GDP"
"GNB" 86 "Guinea-Bissau" 179
"VUT" 87 "Vanuatu" 174
"GRD" 88 "Grenada" 172
"KNA" 88 "St. Kitts and Nevis" 172
"VCT" 90 "St. Vincent and the Grenadines" 170
"WSM" 91 "Samoa" 163
"COM" 92 "Comoros" 153
"DMA" 93 "Dominica" 134
"TON" 94 "Tonga" 132
"FSM" 95 "Micronesia, Fed. Sts." 107
"STP" 96 "São Tomé and Principe" 90
"PLW" 97 "Palau" 78
"MHL" 98 "Marshall Islands" 52
"KIR" 99 "Kiribati" 47
"TUV" 101 "Tuvalu" 122
